geonameId	name	toponymName	fcl	fcode	fcodeName	fclName	lat	lng	adminCode1	adminName1	adminCode2	adminName2	adminCode3	adminName3	adminCode4	adminName4	countryName	population	continentCode	countryCode
2420896	Fouta Djallon	Fouta Djallon	L	RGN	region	parks,area, ...	11.5	-12.5	00								Guinea	0	AF	GN
2420825	Gaoual Prefecture	Gaoual Prefecture	A	ADM2	second-order administrative division	country, state, region,...	11.75	-13.2	B	Boke	12	Gaoual					Guinea	193612	AF	GN
2418595	Koundara Prefecture	Koundara Prefecture	A	ADM2	second-order administrative division	country, state, region,...	12.41667	-13.16667	B	Boke	18	Koundara					Guinea	129974	AF	GN
2417376	Moyenne-Guinée	Moyenne-Guinée	L	RGN	region	parks,area, ...	11	-12.5	00								Guinea	0	AF	GN
10375729	National Park of Upper Niger	National Park of Upper Niger	L	PRK	park	parks,area, ...	10.5	-10.2	K	Kankan	19	Kouroussa Prefecture					Guinea	0	AF	GN
2420477	Guinea	Republic of Guinea	A	PCLI	independent political entity	country, state, region,...	10.83333	-10.66667	00								Guinea	10324025	AF	GN
2420477	Guinea	Republic of Guinea	A	PCLI	independent political entity	country, state, region,...	10.83333	-10.66667	00								Guinea	10324025	AF	GN
2422464	Conakry Region	Conakry Region	A	ADM1	first-order administrative division	country, state, region,...	9.60703	-13.597	04	Conakry							Guinea	1660973	AF	GN
2418595	Koundara Prefecture	Koundara Prefecture	A	ADM2	second-order administrative division	country, state, region,...	12.41667	-13.16667	B	Boke	18	Koundara					Guinea	129974	AF	GN
2420433	Haute-Guinée	Haute-Guinée	L	RGN	region	parks,area, ...	10.5	-9.5	00								Guinea	0	AF	GN
